"term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
1965,97,"AFortas",-1.398,0.27,-1.391,-1.952,-0.894
1966,97,"AFortas",-1.562,0.235,-1.557,-2.044,-1.118
1967,97,"AFortas",-1.475,0.243,-1.469,-1.97,-1.025
1968,97,"AFortas",-1.285,0.317,-1.272,-1.938,-0.701
1962,96,"AJGoldberg",-1.098,0.226,-1.092,-1.56,-0.67
1963,96,"AJGoldberg",-1.204,0.213,-1.2,-1.635,-0.8
1964,96,"AJGoldberg",-0.86,0.259,-0.855,-1.395,-0.374
1987,106,"AMKennedy",1.196,0.283,1.189,0.658,1.773
1988,106,"AMKennedy",1.468,0.232,1.462,1.031,1.941
1989,106,"AMKennedy",1.357,0.22,1.352,0.944,1.804
1990,106,"AMKennedy",1.218,0.218,1.214,0.805,1.656
1991,106,"AMKennedy",0.885,0.205,0.884,0.495,1.303
1992,106,"AMKennedy",1.044,0.217,1.042,0.627,1.473
1993,106,"AMKennedy",0.876,0.219,0.873,0.466,1.324
1994,106,"AMKennedy",0.845,0.212,0.841,0.434,1.272
1995,106,"AMKennedy",0.713,0.213,0.707,0.309,1.142
1996,106,"AMKennedy",0.849,0.213,0.843,0.448,1.285
1997,106,"AMKennedy",0.817,0.225,0.813,0.388,1.277
1998,106,"AMKennedy",0.919,0.226,0.916,0.492,1.37
1999,106,"AMKennedy",1.066,0.229,1.058,0.63,1.532
2000,106,"AMKennedy",0.953,0.223,0.945,0.53,1.402
2001,106,"AMKennedy",1.039,0.229,1.036,0.605,1.504
2002,106,"AMKennedy",0.886,0.236,0.883,0.434,1.364
2003,106,"AMKennedy",0.749,0.223,0.743,0.328,1.2
2004,106,"AMKennedy",0.538,0.224,0.534,0.106,0.995
2005,106,"AMKennedy",0.487,0.225,0.484,0.051,0.939
2006,106,"AMKennedy",0.445,0.207,0.441,0.059,0.859
2007,106,"AMKennedy",0.398,0.218,0.394,-0.017,0.839
2008,106,"AMKennedy",0.557,0.202,0.552,0.168,0.962
2009,106,"AMKennedy",0.517,0.214,0.514,0.104,0.944
2010,106,"AMKennedy",0.581,0.21,0.578,0.182,0.999
2011,106,"AMKennedy",0.299,0.211,0.299,-0.116,0.716
2012,106,"AMKennedy",0.24,0.202,0.238,-0.147,0.646
2013,106,"AMKennedy",0.048,0.23,0.046,-0.401,0.508
2014,106,"AMKennedy",-0.27,0.211,-0.268,-0.69,0.138
2015,106,"AMKennedy",-0.406,0.242,-0.404,-0.874,0.067
2016,106,"AMKennedy",-0.362,0.281,-0.357,-0.931,0.17
1986,105,"AScalia",1.424,0.242,1.413,0.977,1.923
1987,105,"AScalia",1.638,0.25,1.63,1.171,2.153
1988,105,"AScalia",1.807,0.259,1.801,1.314,2.337
1989,105,"AScalia",2.011,0.274,2.002,1.506,2.572
1990,105,"AScalia",2.198,0.304,2.191,1.626,2.802
1991,105,"AScalia",2.543,0.315,2.535,1.943,3.177
1992,105,"AScalia",2.577,0.354,2.57,1.919,3.301
1993,105,"AScalia",2.663,0.374,2.653,1.967,3.434
1994,105,"AScalia",2.893,0.38,2.88,2.182,3.678
1995,105,"AScalia",3.16,0.391,3.153,2.424,3.962
1996,105,"AScalia",3.353,0.402,3.339,2.595,4.182
1997,105,"AScalia",3.428,0.414,3.413,2.655,4.275
1998,105,"AScalia",3.405,0.431,3.395,2.586,4.274
1999,105,"AScalia",3.473,0.423,3.463,2.676,4.326
2000,105,"AScalia",3.471,0.412,3.459,2.699,4.309
2001,105,"AScalia",3.31,0.414,3.302,2.529,4.139
2002,105,"AScalia",2.997,0.417,2.988,2.211,3.833
2003,105,"AScalia",2.814,0.405,2.802,2.06,3.652
2004,105,"AScalia",2.594,0.403,2.579,1.844,3.412
2005,105,"AScalia",2.542,0.396,2.529,1.806,3.355
2006,105,"AScalia",2.539,0.374,2.533,1.829,3.293
2007,105,"AScalia",2.408,0.362,2.402,1.728,3.152
2008,105,"AScalia",2.307,0.35,2.3,1.637,3.017
2009,105,"AScalia",2.286,0.343,2.274,1.637,2.984
2010,105,"AScalia",2.119,0.35,2.105,1.471,2.836
2011,105,"AScalia",2.037,0.334,2.025,1.415,2.713
2012,105,"AScalia",1.711,0.335,1.695,1.092,2.402
2013,105,"AScalia",1.575,0.349,1.561,0.938,2.306
2014,105,"AScalia",1.487,0.357,1.469,0.848,2.247
2015,105,"AScalia",1.556,0.452,1.541,0.713,2.482
1937,77,"BNCardozo",-1.595,0.637,-1.554,-2.948,-0.49
1961,95,"BRWhite",-0.28,0.292,-0.278,-0.86,0.279
1962,95,"BRWhite",-0.243,0.165,-0.242,-0.572,0.079
1963,95,"BRWhite",-0.148,0.154,-0.145,-0.453,0.149
1964,95,"BRWhite",-0.164,0.185,-0.164,-0.527,0.206
1965,95,"BRWhite",-0.176,0.173,-0.178,-0.513,0.162
1966,95,"BRWhite",-0.017,0.151,-0.017,-0.31,0.278
1967,95,"BRWhite",0.245,0.142,0.244,-0.033,0.528
1968,95,"BRWhite",0.064,0.168,0.061,-0.266,0.395
1969,95,"BRWhite",0.104,0.171,0.102,-0.228,0.445
1970,95,"BRWhite",0.475,0.171,0.471,0.15,0.82
1971,95,"BRWhite",0.661,0.166,0.66,0.343,0.99
1972,95,"BRWhite",0.99,0.17,0.987,0.668,1.329
1973,95,"BRWhite",0.569,0.159,0.569,0.264,0.884
1974,95,"BRWhite",0.612,0.175,0.609,0.276,0.964
1975,95,"BRWhite",0.496,0.158,0.494,0.193,0.815
1976,95,"BRWhite",0.355,0.151,0.353,0.063,0.655
1977,95,"BRWhite",-0.002,0.162,-0.003,-0.323,0.315
1978,95,"BRWhite",-0.049,0.154,-0.05,-0.349,0.257
1979,95,"BRWhite",0.218,0.15,0.218,-0.078,0.512
1980,95,"BRWhite",0.171,0.161,0.17,-0.144,0.496
1981,95,"BRWhite",0.185,0.153,0.182,-0.112,0.49
1982,95,"BRWhite",0.594,0.17,0.591,0.27,0.939
1983,95,"BRWhite",0.815,0.18,0.81,0.475,1.18
1984,95,"BRWhite",0.998,0.2,0.993,0.622,1.408
1985,95,"BRWhite",1.204,0.201,1.202,0.825,1.611
1986,95,"BRWhite",1.204,0.188,1.202,0.845,1.579
1987,95,"BRWhite",0.978,0.202,0.974,0.596,1.384
1988,95,"BRWhite",1.063,0.193,1.062,0.693,1.457
1989,95,"BRWhite",0.82,0.181,0.817,0.477,1.184
1990,95,"BRWhite",0.602,0.185,0.596,0.247,0.979
1991,95,"BRWhite",0.625,0.189,0.624,0.258,1.001
1992,95,"BRWhite",0.567,0.226,0.562,0.137,1.023
1937,75,"CEHughes2",-0.366,0.229,-0.366,-0.818,0.085
1938,75,"CEHughes2",-0.189,0.189,-0.19,-0.563,0.178
1939,75,"CEHughes2",0.344,0.194,0.339,-0.028,0.736
1940,75,"CEHughes2",0.935,0.239,0.926,0.495,1.433
1956,93,"CEWhittaker",1.048,0.28,1.041,0.515,1.617
1957,93,"CEWhittaker",1.102,0.203,1.097,0.721,1.518
1958,93,"CEWhittaker",1.352,0.218,1.347,0.935,1.789
1959,93,"CEWhittaker",1.453,0.218,1.448,1.042,1.896
1960,93,"CEWhittaker",1.281,0.247,1.275,0.817,1.783
1961,93,"CEWhittaker",1.197,0.347,1.184,0.561,1.912
1991,108,"CThomas",2.756,0.466,2.737,1.909,3.725
1992,108,"CThomas",3.055,0.458,3.033,2.21,4.006
1993,108,"CThomas",3.423,0.445,3.412,2.576,4.334
1994,108,"CThomas",3.628,0.446,3.615,2.79,4.547
1995,108,"CThomas",3.706,0.46,3.688,2.852,4.646
1996,108,"CThomas",3.766,0.471,3.76,2.87,4.732
1997,108,"CThomas",3.756,0.482,3.74,2.843,4.743
1998,108,"CThomas",3.779,0.492,3.761,2.851,4.807
1999,108,"CThomas",3.726,0.502,3.715,2.789,4.756
2000,108,"CThomas",3.764,0.504,3.746,2.826,4.796
2001,108,"CThomas",3.732,0.518,3.714,2.762,4.79
2002,108,"CThomas",3.878,0.508,3.862,2.939,4.933
2003,108,"CThomas",3.905,0.511,3.884,2.955,4.949
2004,108,"CThomas",3.954,0.513,3.935,2.998,5.011
2005,108,"CThomas",3.987,0.511,3.968,3.034,5.066
2006,108,"CThomas",3.95,0.511,3.93,3.017,5.012
2007,108,"CThomas",3.819,0.513,3.796,2.879,4.887
2008,108,"CThomas",3.588,0.535,3.558,2.611,4.738
2009,108,"CThomas",3.461,0.547,3.423,2.486,4.63
2010,108,"CThomas",3.307,0.568,3.266,2.292,4.546
2011,108,"CThomas",3.29,0.573,3.25,2.291,4.532
2012,108,"CThomas",3.262,0.588,3.218,2.239,4.556
2013,108,"CThomas",3.311,0.606,3.269,2.256,4.652
2014,108,"CThomas",3.344,0.634,3.296,2.237,4.739
2015,108,"CThomas",3.41,0.662,3.365,2.24,4.875
2016,108,"CThomas",3.477,0.709,3.437,2.215,5.011
1990,107,"DHSouter",1.001,0.227,0.995,0.571,1.46
1991,107,"DHSouter",0.657,0.194,0.657,0.281,1.046
1992,107,"DHSouter",0.275,0.185,0.274,-0.083,0.633
1993,107,"DHSouter",-0.225,0.193,-0.223,-0.605,0.145
1994,107,"DHSouter",-0.317,0.196,-0.315,-0.71,0.067
1995,107,"DHSouter",-0.34,0.2,-0.338,-0.743,0.046
1996,107,"DHSouter",-0.341,0.201,-0.339,-0.742,0.06
1997,107,"DHSouter",-0.46,0.212,-0.456,-0.892,-0.051
1998,107,"DHSouter",-0.586,0.214,-0.584,-1.017,-0.177
1999,107,"DHSouter",-0.986,0.224,-0.981,-1.445,-0.561
2000,107,"DHSouter",-1.234,0.244,-1.228,-1.73,-0.774
2001,107,"DHSouter",-1.419,0.266,-1.413,-1.958,-0.915
2002,107,"DHSouter",-1.525,0.285,-1.518,-2.111,-0.986
2003,107,"DHSouter",-1.672,0.285,-1.664,-2.237,-1.129
2004,107,"DHSouter",-1.644,0.289,-1.637,-2.228,-1.1
2005,107,"DHSouter",-1.563,0.291,-1.553,-2.164,-1.006
2006,107,"DHSouter",-1.446,0.283,-1.44,-2.021,-0.921
2007,107,"DHSouter",-1.507,0.296,-1.499,-2.114,-0.952
2008,107,"DHSouter",-1.568,0.324,-1.554,-2.248,-0.976
2010,114,"EKagan",-1.404,0.333,-1.394,-2.076,-0.782
2011,114,"EKagan",-1.387,0.302,-1.378,-2.001,-0.827
2012,114,"EKagan",-1.631,0.302,-1.62,-2.253,-1.063
2013,114,"EKagan",-1.589,0.322,-1.581,-2.248,-0.993
2014,114,"EKagan",-1.641,0.322,-1.633,-2.306,-1.051
2015,114,"EKagan",-1.518,0.346,-1.505,-2.24,-0.878
2016,114,"EKagan",-1.532,0.397,-1.517,-2.364,-0.798
1953,90,"EWarren",0.009,0.219,0.01,-0.429,0.433
1954,90,"EWarren",-0.457,0.22,-0.453,-0.895,-0.037
1955,90,"EWarren",-1.08,0.222,-1.074,-1.527,-0.648
1956,90,"EWarren",-1.294,0.22,-1.289,-1.734,-0.87
1957,90,"EWarren",-1.579,0.223,-1.574,-2.033,-1.158
1958,90,"EWarren",-1.641,0.236,-1.634,-2.116,-1.199
1959,90,"EWarren",-1.551,0.238,-1.543,-2.042,-1.11
1960,90,"EWarren",-1.43,0.235,-1.421,-1.915,-0.991
1961,90,"EWarren",-1.558,0.239,-1.553,-2.049,-1.107
1962,90,"EWarren",-1.508,0.232,-1.501,-1.979,-1.079
1963,90,"EWarren",-1.477,0.227,-1.471,-1.94,-1.053
1964,90,"EWarren",-1.272,0.242,-1.267,-1.762,-0.811
1965,90,"EWarren",-1.296,0.231,-1.287,-1.769,-0.857
1966,90,"EWarren",-1.313,0.21,-1.308,-1.738,-0.913
1967,90,"EWarren",-1.321,0.223,-1.315,-1.776,-0.903
1968,90,"EWarren",-1.356,0.274,-1.349,-1.911,-0.848
1938,80,"FFrankfurter",-1.402,0.323,-1.397,-2.056,-0.792
1939,80,"FFrankfurter",-1.275,0.247,-1.272,-1.775,-0.805
1940,80,"FFrankfurter",-0.734,0.206,-0.728,-1.147,-0.344
1941,80,"FFrankfurter",0.084,0.187,0.084,-0.278,0.454
1942,80,"FFrankfurter",0.404,0.183,0.402,0.052,0.771
1943,80,"FFrankfurter",0.597,0.184,0.594,0.24,0.961
1944,80,"FFrankfurter",0.503,0.173,0.501,0.164,0.846
1945,80,"FFrankfurter",0.649,0.214,0.644,0.248,1.078
1946,80,"FFrankfurter",1.042,0.204,1.037,0.654,1.449
1947,80,"FFrankfurter",0.953,0.199,0.946,0.573,1.36
1948,80,"FFrankfurter",0.634,0.182,0.63,0.292,1.005
1949,80,"FFrankfurter",0.346,0.214,0.339,-0.061,0.79
1950,80,"FFrankfurter",0.236,0.201,0.234,-0.15,0.634
1951,80,"FFrankfurter",0.116,0.192,0.113,-0.262,0.491
1952,80,"FFrankfurter",0.074,0.168,0.075,-0.26,0.406
1953,80,"FFrankfurter",0.377,0.194,0.375,0.004,0.754
1954,80,"FFrankfurter",0.326,0.203,0.325,-0.065,0.727
1955,80,"FFrankfurter",0.632,0.204,0.628,0.239,1.045
1956,80,"FFrankfurter",0.801,0.195,0.798,0.428,1.189
1957,80,"FFrankfurter",1.059,0.195,1.054,0.694,1.454
1958,80,"FFrankfurter",1.385,0.228,1.382,0.955,1.846
1959,80,"FFrankfurter",1.684,0.251,1.677,1.216,2.196
1960,80,"FFrankfurter",1.763,0.29,1.75,1.22,2.365
1961,80,"FFrankfurter",1.769,0.369,1.755,1.089,2.526
1939,82,"FMurphy",-1.617,0.353,-1.61,-2.335,-0.947
1940,82,"FMurphy",-1.57,0.289,-1.558,-2.168,-1.042
1941,82,"FMurphy",-1.508,0.261,-1.5,-2.046,-1.021
1942,82,"FMurphy",-1.635,0.261,-1.629,-2.164,-1.139
1943,82,"FMurphy",-1.707,0.255,-1.705,-2.227,-1.216
1944,82,"FMurphy",-1.43,0.246,-1.422,-1.931,-0.972
1945,82,"FMurphy",-1.402,0.269,-1.394,-1.942,-0.888
1946,82,"FMurphy",-1.783,0.26,-1.774,-2.311,-1.3
1947,82,"FMurphy",-1.695,0.273,-1.685,-2.259,-1.187
1948,82,"FMurphy",-1.523,0.302,-1.509,-2.164,-0.979
1946,87,"FMVinson",0.416,0.192,0.413,0.052,0.806
1947,87,"FMVinson",0.541,0.185,0.539,0.193,0.916
1948,87,"FMVinson",0.891,0.199,0.885,0.521,1.301
1949,87,"FMVinson",1.154,0.25,1.151,0.676,1.656
1950,87,"FMVinson",1.296,0.263,1.287,0.805,1.83
1951,87,"FMVinson",1.546,0.275,1.538,1.027,2.111
1952,87,"FMVinson",1.48,0.321,1.463,0.91,2.172
1937,71,"GSutherland",1.583,0.551,1.55,0.62,2.782
1969,100,"HABlackmun",1.64,0.397,1.637,0.878,2.424
1970,100,"HABlackmun",1.762,0.294,1.754,1.225,2.36
1971,100,"HABlackmun",1.708,0.242,1.699,1.258,2.207
1972,100,"HABlackmun",1.488,0.213,1.483,1.091,1.925
1973,100,"HABlackmun",1.347,0.204,1.341,0.954,1.763
1974,100,"HABlackmun",1.054,0.204,1.051,0.665,1.463
1975,100,"HABlackmun",0.839,0.175,0.835,0.505,1.186
1976,100,"HABlackmun",0.624,0.164,0.621,0.309,0.951
1977,100,"HABlackmun",0.285,0.171,0.286,-0.053,0.621
1978,100,"HABlackmun",0.136,0.153,0.135,-0.162,0.438
1979,100,"HABlackmun",-0.015,0.15,-0.014,-0.306,0.279
1980,100,"HABlackmun",-0.095,0.163,-0.094,-0.417,0.224
1981,100,"HABlackmun",-0.278,0.156,-0.277,-0.588,0.023
1982,100,"HABlackmun",-0.394,0.162,-0.394,-0.721,-0.078
1983,100,"HABlackmun",-0.014,0.154,-0.013,-0.315,0.286
1984,100,"HABlackmun",-0.147,0.163,-0.145,-0.473,0.166
1985,100,"HABlackmun",-0.721,0.173,-0.717,-1.071,-0.39
1986,100,"HABlackmun",-0.907,0.176,-0.902,-1.262,-0.573
1987,100,"HABlackmun",-0.942,0.202,-0.938,-1.352,-0.56
1988,100,"HABlackmun",-0.954,0.189,-0.949,-1.342,-0.592
1989,100,"HABlackmun",-0.906,0.19,-0.901,-1.293,-0.545
1990,100,"HABlackmun",-1.211,0.225,-1.205,-1.668,-0.789
1991,100,"HABlackmun",-1.453,0.257,-1.448,-1.983,-0.972
1992,100,"HABlackmun",-1.665,0.297,-1.653,-2.273,-1.119
1993,100,"HABlackmun",-1.943,0.357,-1.929,-2.68,-1.28
1937,74,"HFStone",-0.769,0.259,-0.763,-1.295,-0.281
1938,74,"HFStone",-0.705,0.212,-0.702,-1.135,-0.303
1939,74,"HFStone",-0.622,0.201,-0.622,-1.028,-0.232
1940,74,"HFStone",-0.213,0.188,-0.214,-0.585,0.149
1941,74,"HFStone",0.468,0.193,0.467,0.099,0.85
1942,74,"HFStone",0.426,0.184,0.422,0.073,0.801
1943,74,"HFStone",0.252,0.178,0.253,-0.096,0.602
1944,74,"HFStone",0.576,0.18,0.571,0.236,0.939
1945,74,"HFStone",0.725,0.27,0.718,0.213,1.274
1945,86,"HHBurton",0.508,0.234,0.504,0.07,0.98
1946,86,"HHBurton",0.533,0.188,0.528,0.172,0.913
1947,86,"HHBurton",0.834,0.196,0.832,0.463,1.237
1948,86,"HHBurton",0.959,0.203,0.955,0.574,1.374
1949,86,"HHBurton",0.998,0.24,0.995,0.55,1.48
1950,86,"HHBurton",1.01,0.231,1.006,0.567,1.476
1951,86,"HHBurton",0.959,0.223,0.954,0.531,1.41
1952,86,"HHBurton",1.285,0.232,1.277,0.854,1.749
1953,86,"HHBurton",1.349,0.25,1.345,0.873,1.859
1954,86,"HHBurton",1.302,0.248,1.294,0.837,1.809
1955,86,"HHBurton",1.312,0.238,1.307,0.864,1.787
1956,86,"HHBurton",1.261,0.22,1.252,0.853,1.723
1957,86,"HHBurton",1.136,0.226,1.128,0.722,1.601
1958,86,"HHBurton",1.186,0.385,1.184,0.437,1.94
1937,78,"HLBlack",-2.896,0.335,-2.894,-3.555,-2.242
1938,78,"HLBlack",-3.204,0.361,-3.202,-3.908,-2.502
1939,78,"HLBlack",-3.3,0.383,-3.297,-4.073,-2.56
1940,78,"HLBlack",-3.338,0.384,-3.329,-4.105,-2.623
1941,78,"HLBlack",-3.272,0.38,-3.263,-4.041,-2.56
1942,78,"HLBlack",-3.068,0.376,-3.058,-3.827,-2.361
1943,78,"HLBlack",-2.747,0.367,-2.732,-3.495,-2.059
1944,78,"HLBlack",-2.594,0.341,-2.585,-3.29,-1.948
1945,78,"HLBlack",-2.185,0.348,-2.178,-2.899,-1.541
1946,78,"HLBlack",-1.974,0.301,-1.961,-2.596,-1.425
1947,78,"HLBlack",-1.807,0.279,-1.795,-2.38,-1.3
1948,78,"HLBlack",-1.605,0.267,-1.595,-2.168,-1.118
1949,78,"HLBlack",-1.552,0.306,-1.547,-2.171,-0.967
1950,78,"HLBlack",-1.502,0.29,-1.495,-2.089,-0.962
1951,78,"HLBlack",-1.371,0.261,-1.364,-1.903,-0.886
1952,78,"HLBlack",-1.105,0.231,-1.095,-1.588,-0.683
1953,78,"HLBlack",-1.483,0.262,-1.477,-2.014,-0.991
1954,78,"HLBlack",-1.617,0.284,-1.613,-2.191,-1.09
1955,78,"HLBlack",-1.955,0.285,-1.948,-2.525,-1.415
1956,78,"HLBlack",-2.163,0.281,-2.159,-2.725,-1.636
1957,78,"HLBlack",-2.233,0.273,-2.228,-2.782,-1.717
1958,78,"HLBlack",-2.068,0.284,-2.061,-2.646,-1.537
1959,78,"HLBlack",-2.045,0.275,-2.039,-2.593,-1.534
1960,78,"HLBlack",-1.935,0.267,-1.928,-2.469,-1.431
1961,78,"HLBlack",-1.832,0.267,-1.825,-2.36,-1.323
1962,78,"HLBlack",-1.735,0.249,-1.731,-2.237,-1.258
1963,78,"HLBlack",-1.409,0.226,-1.403,-1.864,-0.984
1964,78,"HLBlack",-0.857,0.228,-0.851,-1.321,-0.43
1965,78,"HLBlack",-0.531,0.189,-0.525,-0.922,-0.171
1966,78,"HLBlack",-0.42,0.155,-0.418,-0.732,-0.122
1967,78,"HLBlack",-0.096,0.143,-0.096,-0.376,0.184
1968,78,"HLBlack",0.105,0.174,0.107,-0.234,0.45
1969,78,"HLBlack",0.091,0.178,0.091,-0.261,0.444
1970,78,"HLBlack",0.002,0.183,-0,-0.355,0.369
1937,67,"JCMcReynolds",3.441,0.546,3.413,2.457,4.584
1938,67,"JCMcReynolds",3.574,0.561,3.534,2.584,4.761
1939,67,"JCMcReynolds",3.541,0.616,3.504,2.434,4.86
1940,67,"JCMcReynolds",3.363,0.714,3.333,2.055,4.85
1941,83,"JFByrnes",-0.19,0.232,-0.191,-0.654,0.274
2005,111,"JGRoberts",1.381,0.331,1.372,0.756,2.063
2006,111,"JGRoberts",1.414,0.28,1.403,0.887,1.986
2007,111,"JGRoberts",1.404,0.275,1.398,0.883,1.962
2008,111,"JGRoberts",1.488,0.262,1.482,0.997,2.023
2009,111,"JGRoberts",1.369,0.269,1.361,0.861,1.914
2010,111,"JGRoberts",1.388,0.267,1.382,0.888,1.929
2011,111,"JGRoberts",1.196,0.26,1.19,0.701,1.723
2012,111,"JGRoberts",1.095,0.247,1.089,0.629,1.597
2013,111,"JGRoberts",0.775,0.254,0.772,0.289,1.285
2014,111,"JGRoberts",0.561,0.224,0.557,0.134,1.011
2015,111,"JGRoberts",0.27,0.243,0.269,-0.211,0.753
2016,111,"JGRoberts",0.257,0.278,0.252,-0.276,0.805
1954,91,"JHarlan2",0.872,0.33,0.867,0.249,1.543
1955,91,"JHarlan2",1.093,0.252,1.084,0.627,1.608
1956,91,"JHarlan2",1.283,0.226,1.277,0.858,1.742
1957,91,"JHarlan2",1.412,0.221,1.405,1,1.873
1958,91,"JHarlan2",1.571,0.245,1.563,1.115,2.072
1959,91,"JHarlan2",1.713,0.253,1.702,1.239,2.239
1960,91,"JHarlan2",1.908,0.278,1.903,1.39,2.467
1961,91,"JHarlan2",2.276,0.299,2.271,1.715,2.882
1962,91,"JHarlan2",2.527,0.303,2.514,1.957,3.145
1963,91,"JHarlan2",2.583,0.311,2.576,2.001,3.222
1964,91,"JHarlan2",2.398,0.328,2.39,1.772,3.065
1965,91,"JHarlan2",2.323,0.303,2.316,1.748,2.936
1966,91,"JHarlan2",2.053,0.265,2.048,1.56,2.595
1967,91,"JHarlan2",1.475,0.226,1.465,1.051,1.942
1968,91,"JHarlan2",0.775,0.211,0.766,0.382,1.213
1969,91,"JHarlan2",0.674,0.197,0.672,0.298,1.068
1970,91,"JHarlan2",0.669,0.206,0.666,0.285,1.09
1975,103,"JPStevens",0.089,0.197,0.089,-0.295,0.479
1976,103,"JPStevens",-0.143,0.156,-0.14,-0.454,0.156
1977,103,"JPStevens",-0.054,0.164,-0.055,-0.377,0.269
1978,103,"JPStevens",-0.31,0.154,-0.31,-0.619,-0.011
1979,103,"JPStevens",-0.284,0.153,-0.282,-0.589,0.014
1980,103,"JPStevens",-0.289,0.165,-0.288,-0.615,0.031
1981,103,"JPStevens",-0.33,0.16,-0.328,-0.641,-0.023
1982,103,"JPStevens",-0.568,0.17,-0.566,-0.911,-0.24
1983,103,"JPStevens",-0.572,0.164,-0.567,-0.905,-0.264
1984,103,"JPStevens",-0.537,0.173,-0.534,-0.875,-0.208
1985,103,"JPStevens",-0.507,0.169,-0.507,-0.839,-0.179
1986,103,"JPStevens",-0.614,0.163,-0.611,-0.942,-0.309
1987,103,"JPStevens",-0.54,0.185,-0.537,-0.911,-0.193
1988,103,"JPStevens",-0.684,0.176,-0.679,-1.039,-0.349
1989,103,"JPStevens",-1.073,0.203,-1.067,-1.49,-0.692
1990,103,"JPStevens",-1.794,0.259,-1.788,-2.315,-1.31
1991,103,"JPStevens",-2.216,0.304,-2.21,-2.833,-1.642
1992,103,"JPStevens",-2.4,0.344,-2.39,-3.098,-1.752
1993,103,"JPStevens",-2.598,0.376,-2.589,-3.358,-1.896
1994,103,"JPStevens",-3.012,0.384,-3,-3.791,-2.297
1995,103,"JPStevens",-3.263,0.401,-3.254,-4.077,-2.522
1996,103,"JPStevens",-3.369,0.412,-3.36,-4.209,-2.595
1997,103,"JPStevens",-3.327,0.432,-3.319,-4.201,-2.514
1998,103,"JPStevens",-3.329,0.429,-3.315,-4.206,-2.534
1999,103,"JPStevens",-3.287,0.43,-3.275,-4.159,-2.476
2000,103,"JPStevens",-3.119,0.451,-3.109,-4.031,-2.281
2001,103,"JPStevens",-3.012,0.452,-2.996,-3.949,-2.179
2002,103,"JPStevens",-2.896,0.453,-2.884,-3.838,-2.059
2003,103,"JPStevens",-2.878,0.437,-2.862,-3.795,-2.073
